iter	Passed	Remaining
0	134	134432
1	136	67910
2	137	45701
3	138	34602
4	140	27961
5	141	23520
6	143	20341
7	144	17961
8	146	16116
9	147	14638
10	149	13427
11	150	12416
12	152	11559
13	153	10822
14	155	10193
15	156	9635
16	158	9142
17	159	8706
18	160	8311
19	162	7958
20	163	7641
21	165	7349
22	166	7084
23	168	6840
24	169	6619
25	171	6414
26	172	6221
27	174	6043
28	175	5875
29	176	5722
30	178	5576
31	179	5438
32	181	5310
33	182	5190
34	184	5077
35	185	4972
36	187	4868
37	188	4772
38	190	4682
39	191	4594
40	192	4510
41	194	4433
42	195	4356
43	197	4283
44	198	4214
45	200	4150
46	201	4087
47	203	4027
48	204	3969
49	206	3914
50	207	3862
51	209	3824
52	211	3779
53	212	3731
54	214	3687
55	216	3648
56	218	3607
57	219	3566
58	221	3525
59	222	3489
60	224	3451
61	226	3420
62	227	3383
63	229	3349
64	230	3321
65	232	3289
66	233	3256
67	235	3225
68	237	3198
69	238	3168
70	240	3141
71	241	3117
72	243	3090
73	245	3069
74	246	3045
75	248	3023
76	250	3002
77	252	2983
78	254	2961
79	256	2944
80	257	2918
81	259	2900
82	260	2881
83	262	2860
84	263	2835
85	264	2816
86	266	2794
87	267	2776
88	269	2763
89	271	2747
90	274	2738
91	275	2722
92	276	2700
93	278	2683
94	280	2669
95	281	2653
96	283	2634
97	284	2620
98	287	2612
99	288	2600
100	290	2588
101	296	2607
102	298	2601
103	300	2589
104	302	2579
105	304	2570
106	308	2570
107	310	2565
108	312	2551
109	313	2537
110	315	2526
111	316	2513
112	321	2522
113	324	2519
114	325	2508
115	327	2497
116	329	2488
117	331	2478
118	333	2466
119	335	2458
120	337	2450
121	338	2439
122	340	2429
123	342	2417
124	343	2407
125	345	2397
126	347	2387
127	348	2376
128	351	2376
129	353	2368
130	355	2359
131	361	2374
132	363	2368
133	366	2368
134	368	2358
135	369	2348
136	371	2338
137	372	2327
138	374	2319
139	376	2311
140	377	2301
141	379	2291
142	382	2291
143	383	2282
144	385	2273
145	387	2263
146	388	2256
147	390	2248
148	392	2238
149	393	2230
150	396	2226
151	397	2218
152	399	2209
153	400	2201
154	402	2192
155	403	2184
156	405	2176
157	406	2168
158	408	2160
159	410	2156
160	413	2152
161	414	2144
162	415	2135
163	417	2129
164	419	2122
165	420	2114
166	422	2106
167	424	2101
168	425	2094
169	427	2089
170	429	2084
171	432	2082
172	434	2078
173	436	2072
174	439	2071
175	442	2071
176	444	2068
177	447	2068
178	449	2063
179	451	2056
180	453	2051
181	455	2045
182	457	2044
183	463	2053
184	465	2052
185	467	2048
186	469	2041
187	471	2035
188	474	2035
189	476	2033
190	478	2026
191	479	2019
192	481	2012
193	483	2007
194	484	2000
195	486	1994
196	490	1998
197	492	1992
198	494	1988
199	499	1996
200	505	2008
201	508	2010
202	511	2007
203	513	2004
204	515	2000
205	521	2009
206	523	2005
207	525	1999
208	526	1994
209	528	1988
210	530	1982
211	531	1976
212	536	1983
213	538	1979
214	540	1974
215	543	1971
216	545	1970
217	551	1976
218	552	1971
219	554	1966
220	556	1961
221	558	1955
222	563	1962
223	567	1964
224	568	1959
225	570	1954
226	572	1948
227	574	1943
228	575	1938
229	577	1933
230	580	1933
231	582	1928
232	584	1922
233	585	1917
234	587	1912
235	589	1908
236	591	1903
237	594	1902
238	597	1903
239	600	1901
240	602	1898
241	604	1894
242	606	1888
243	608	1884
244	610	1880
245	612	1876
246	614	1872
247	615	1867
248	617	1863
249	619	1859
250	621	1856
251	623	1850
252	625	1847
253	628	1845
254	630	1842
255	632	1839
256	634	1835
257	636	1831
258	638	1826
259	640	1822
260	642	1820
261	645	1817
262	647	1814
263	649	1810
264	651	1805
265	652	1800
266	654	1796
267	657	1796
268	660	1793
269	662	1790
270	664	1786
271	665	1781
272	667	1777
273	668	1772
274	671	1770
275	673	1767
276	676	1764
277	678	1761
278	679	1757
279	681	1753
280	683	1750
281	688	1751
282	689	1747
283	691	1743
284	693	1740
285	695	1737
286	697	1733
287	699	1728
288	702	1727
289	704	1724
290	705	1719
291	707	1715
292	709	1711
293	710	1706
294	712	1702
295	713	1697
296	715	1693
297	717	1691
298	719	1687
299	721	1682
300	722	1678
301	724	1674
302	726	1670
303	727	1666
304	729	1662
305	732	1661
306	734	1657
307	735	1653
308	737	1649
309	739	1645
310	741	1641
311	742	1637
